rule,aave-v3-origin,core,core-v3,morpho-blue,openzeppelin-contracts,seaport,v4-core,total_rewrites,n_protocols,closed_world_only
state-packing,0,1,0,0,0,0,0,1,1,False
struct-packing,0,0,0,0,0,0,0,0,0,True
avoid-zero-init,69,93,2,0,95,26,1,286,6,False
remove-const-loop,0,0,0,0,0,0,0,0,0,False
factor-loops,0,0,0,0,0,0,0,0,0,False
const-folding,0,2,0,0,13,8,0,23,3,False
demorgan,2,3,0,0,5,1,0,11,4,False
single-line-swap,0,0,0,0,0,0,0,0,0,False
delete-storage,6,12,6,1,8,0,0,33,5,False
cache-storage,0,0,0,0,0,0,0,0,0,False
cache-array-member,0,0,0,0,0,0,0,0,0,False
cache-array-length,1,0,0,0,0,1,0,2,2,False
loop-invariant,0,0,0,0,0,0,0,0,0,False
pre-increment,61,38,0,0,12,26,0,137,4,False
unchecked,8,14,2,0,34,16,0,74,5,False
require-error,41,6,0,0,0,0,0,47,2,False
short-circuit,0,4,1,0,0,0,0,5,2,False
const-folding-state,0,3,0,1,1,0,0,5,3,False
use-immutable,0,0,0,0,0,0,0,0,0,False
use-constant,0,0,0,0,0,0,0,0,0,False
avoid-zero-init-state,1,0,0,0,0,0,0,1,1,False
visibility,0,0,0,0,0,0,0,0,0,False
calldata-params,1,2,0,0,0,0,0,3,2,False
payable-constructor,23,34,9,1,5,8,1,81,7,False
loop-fusion,0,0,0,0,0,0,0,0,0,False
