protocol,contract,function,mean_before,mean_after,mean_delta,mean_delta_pct
morpho-blue,src/Morpho.sol:Morpho,DOMAIN_SEPARATOR(),281,281,0,0.0
morpho-blue,src/Morpho.sol:Morpho,"createMarket((address,address,address,address,uint256))",136907,136924,17,0.01241718831031284
morpho-blue,src/Morpho.sol:Morpho,enableIrm(address),41826,41826,0,0.0
morpho-blue,src/Morpho.sol:Morpho,enableLltv(uint256),44467,44470,3,0.006746576112622844
morpho-blue,src/Morpho.sol:Morpho,feeRecipient(),2412,2412,0,0.0
morpho-blue,src/Morpho.sol:Morpho,"flashLoan(address,uint256,bytes)",64808,64803,-5,-0.007715096901617084
morpho-blue,src/Morpho.sol:Morpho,idToMarketParams(bytes32),10963,10963,0,0.0
morpho-blue,src/Morpho.sol:Morpho,isIrmEnabled(address),2980,2980,0,0.0
morpho-blue,src/Morpho.sol:Morpho,isLltvEnabled(uint256),2814,2814,0,0.0
morpho-blue,src/Morpho.sol:Morpho,"liquidate((address,address,address,address,uint256),address,uint256,uint256,bytes)",71897,71844,-53,-0.07371656675521927
morpho-blue,src/Morpho.sol:Morpho,nonce(address),2687,2687,0,0.0
morpho-blue,src/Morpho.sol:Morpho,owner(),2676,2676,0,0.0
morpho-blue,src/Morpho.sol:Morpho,"position(bytes32,address)",5045,5045,0,0.0
morpho-blue,src/Morpho.sol:Morpho,"setAuthorization(address,bool)",35080,35080,0,0.0
morpho-blue,src/Morpho.sol:Morpho,"setAuthorizationWithSig((address,address,bool,uint256,uint256),(uint8,bytes32,bytes32))",54906,54907,1,0.001821294576184752
morpho-blue,src/Morpho.sol:Morpho,setFeeRecipient(address),31640,31648,8,0.025284450063211124
morpho-blue,src/Morpho.sol:Morpho,setOwner(address),26067,26078,11,0.04219894886254651
